Fecha;RP39;RP02;RP62;RP04;RP70;RN11;PTOSFE;RP262;RP50S
22/06/2019;43,37;;;;15,74;13,04;13,01;35,22;
23/06/2019;43,37;;;;15,75;13,05;13,01;35,18;
24/06/2019;43,36;;;;15,76;13,04;13,01;35,15;
25/06/2019;43,36;;;;15,76;13,03;13,01;35,13;
26/06/2019;43,35;;;;15,74;13,03;13,01;35,1;
27/06/2019;;;;;15,7;13,01;13,01;35,08;
28/06/2019;;;;;15,66;12,98;13,01;35,07;
29/06/2019;;;;;15,65;12,95;12,94;35,07;
30/06/2019;43,32;;;;15,6;12,91;12,93;35,08;
01/07/2019;43,31;;;;15,73;12,89;12,93;35,05;
02/07/2019;;;;;15,59;12,85;12,85;35,04;
03/07/2019;;;;;15,53;12,79;12,79;35,03;
04/07/2019;;;;;15,49;12,74;12,74;35,02;
05/07/2019;;;;;15,47;12,69;12,69;35,01;
06/07/2019;;;;;15,44;12,64;12,64;34,99;
07/07/2019;;;;;15,44;;12,62;34,98;
08/07/2019;;;;;15,44;;12,62;34,97;
09/07/2019;;;;;15,43;;12,44;34,96;
10/07/2019;;;;;15,39;;12,39;34,95;
11/07/2019;;;;;15,37;;12,33;34,95;
12/07/2019;;;;;15,35;;12,29;34,93;
13/07/2019;;;;;15,29;;12,23;34,93;
14/07/2019;;;;;15,25;;12,19;34,92;
15/07/2019;;;;;15,24;12,12;12,13;34,91;
16/07/2019;;;;;15,24;12,07;12,06;34,9;
17/07/2019;;;;;15,21;12,02;12,01;34,88;
18/07/2019;;;;;15,18;11,97;11,95;34,87;
19/07/2019;;;;;15,17;11,89;11,87;34,88;
20/07/2019;;;;;15,14;11,84;11,82;34,87;
21/07/2019;43,17;;;;15,09;11,88;11,76;34,87;
22/07/2019;;;;;15,09;11,71;11,68;34,85;
23/07/2019;;;;;15,04;11,65;11,62;34,86;
24/07/2019;;;;;14,99;11,62;11,58;34,86;
25/07/2019;;;;;15,08;11,51;11,47;34,86;
26/07/2019;;;;;15,19;11,51;11,47;34,99;
27/07/2019;;;27,78;;15,33;11,42;11,37;35,04;
28/07/2019;;;;;15,39;11,44;11,39;35,05;
29/07/2019;;;;;15,23;11,39;11,34;35,06;
30/07/2019;;;;;15,2;11,36;11,31;35,1;
31/07/2019;;;;;15,18;11,34;11,29;35,01;
01/08/2019;;;;;15,17;11,33;11,28;34,93;
02/08/2019;;;27,87;;15,15;11,23;11,17;34,9;
03/08/2019;;;;;15,11;11,3;11,24;34,89;
04/08/2019;;;;;15,13;11,34;11,29;34,88;
05/08/2019;;;27,83;;15,13;11,38;11,33;34,86;
06/08/2019;;;;;15,12;11,38;11,33;34,85;
07/08/2019;;;27,77;;15,11;11,36;11,31;34,86;
08/08/2019;;;;;15,1;11,32;11,27;34,87;
09/08/2019;;;27,71;;15,08;11,3;11,24;34,86;
10/08/2019;;;;;15,07;11,25;11,19;34,84;
11/08/2019;;;;;15,06;11,18;11,12;34,84;
12/08/2019;;;27,69;;14,97;11,18;11,12;34,84;
13/08/2019;;;;;14,96;11,06;10,99;34,84;
14/08/2019;;;27,67;;14,94;11;10,93;34,83;
15/08/2019;;;;;14,92;10,93;10,85;34,82;
16/08/2019;;;;;14,9;10,93;11,09;34,82;
17/08/2019;;;;;14,9;10,92;10,74;34,82;
18/08/2019;;;;;14,9;10,88;10,69;34,82;
19/08/2019;;;;;14,89;10,73;10,64;34,82;
20/08/2019;;35,6;27,64;;14,88;10,71;10,62;34,8;
21/08/2019;;;;;14,86;10,69;10,6;;
22/08/2019;;;;;14,84;10,69;10,6;34,78;
23/08/2019;;;27,62;;14,83;10,67;10,58;34,77;
24/08/2019;;;;;14,83;10,62;10,53;34,76;
25/08/2019;;;;;14,82;10,62;10,53;34,76;
26/08/2019;;;27,59;;14,81;10,51;10,41;34,75;
27/08/2019;;;;;14,81;10,47;10,37;34,74;
28/08/2019;;;;;14,79;10,43;10,33;34,73;
29/08/2019;;35,02;;;14,78;10,4;10,29;34,72;
30/08/2019;;;27,56;;14,76;10,39;10,28;34,73;
31/08/2019;;;;;14,8;10,4;10,29;34,72;
01/09/2019;;;;;14,77;10,3;10,19;;
02/09/2019;;;;;14,76;10,35;10,24;;
03/09/2019;;;;;14,76;10,36;10,25;;
04/09/2019;;;;;14,74;10,36;10,25;;
05/09/2019;;;;;14,73;10,32;10,21;;
06/09/2019;;;;;14,7;10,32;10,21;;
07/09/2019;;;;;14,69;10,3;10,19;;
08/09/2019;;;;;14,69;10,3;10,19;;
09/09/2019;;;;;14,81;10,27;10,16;;
10/09/2019;;;;;14,87;10,27;10,16;;
11/09/2019;;;;;14,79;10,35;10,24;;
12/09/2019;;;;;15,14;10,44;10,34;;
13/09/2019;;;;;15,21;10,53;10,43;;
14/09/2019;;;;;15,24;10,56;10,46;;
15/09/2019;;;;;14,99;10,54;10,44;;
16/09/2019;;;;;14,95;10,52;10,42;;
17/09/2019;;;;;14,89;10,56;10,46;;
18/09/2019;;;;;14,84;10,53;10,43;;
19/09/2019;;;;;14,79;10,53;10,43;;
